# ib - <E>b - <E> - sigma_E - T
  1140    -0.10967943    -0.10083378     0.00135064 10.0
  1141    -0.11429159    -0.10092922     0.00134443 10.0
  1142    -0.07946048    -0.10077803     0.00134343 10.0
  1143    -0.09876157    -0.10076393     0.00133411 10.0
  1144    -0.12230008    -0.10091349     0.00133320 10.0
  1145    -0.12105603    -0.10105240     0.00133123 10.0
  1146    -0.13320231    -0.10127261     0.00134020 10.0
  1147    -0.09499579    -0.10122991     0.00133176 10.0
  1148    -0.09050525    -0.10115745     0.00132473 10.0
  1149    -0.09288072    -0.10110190     0.00131701 10.0
  1150    -0.09004523    -0.10102819     0.00131029 10.0
  1151    -0.09806538    -0.10100856     0.00130176 10.0
  1152    -0.08901723    -0.10092967     0.00129558 10.0
  1153    -0.09498299    -0.10089081     0.00128770 10.0
  1154    -0.11880354    -0.10100712     0.00128458 10.0
  1155    -0.08346479    -0.10089395     0.00128127 10.0
  1156    -0.10241193    -0.10090368     0.00127309 10.0
  1157    -0.10371131    -0.10092156     0.00126511 10.0
  1158    -0.09594337    -0.10089005     0.00125749 10.0
  1159    -0.08829615    -0.10081085     0.00125207 10.0
  1160    -0.07790679    -0.10066770     0.00125241 10.0
  1161    -0.11016521    -0.10072669     0.00124601 10.0
  1162    -0.09890953    -0.10071547     0.00123837 10.0
  1163    -0.10146551    -0.10072007     0.00123079 10.0
  1164    -0.10330406    -0.10073583     0.00122338 10.0
  1165    -0.11033211    -0.10079399     0.00121735 10.0
  1166    -0.06519528    -0.10057954     0.00122876 10.0
  1167    -0.11506482    -0.10066628     0.00122446 10.0
  1168    -0.09573254    -0.10063691     0.00121752 10.0
  1169    -0.08771461    -0.10056044     0.00121272 10.0
  1170    -0.09749698    -0.10054242     0.00120572 10.0
  1171    -0.10042559    -0.10054174     0.00119867 10.0
  1172    -0.09025733    -0.10048195     0.00119319 10.0
  1173    -0.10676291    -0.10051825     0.00118684 10.0
  1174    -0.10030307    -0.10051702     0.00118002 10.0
  1175    -0.09384529    -0.10047889     0.00117390 10.0
  1176    -0.08639765    -0.10039889     0.00116995 10.0
  1177    -0.09851496    -0.10038824     0.00116339 10.0
  1178    -0.10974578    -0.10044081     0.00115804 10.0
  1179    -0.10011052    -0.10043897     0.00115157 10.0
  1180    -0.07794292    -0.10031399     0.00115193 10.0
  1181    -0.09022477    -0.10025825     0.00114692 10.0
  1182    -0.08852640    -0.10019379     0.00114243 10.0
  1183    -0.10158247    -0.10020138     0.00113621 10.0
  1184    -0.12754754    -0.10035000     0.00113971 10.0
  1185    -0.12655237    -0.10049163     0.00114232 10.0
  1186    -0.08051214    -0.10038421     0.00114122 10.0
  1187    -0.12888675    -0.10053663     0.00114525 10.0
  1188    -0.09709483    -0.10051833     0.00113930 10.0
  1189    -0.08082215    -0.10041411     0.00113803 10.0
  1190    -0.09665595    -0.10039433     0.00113221 10.0
  1191    -0.11739204    -0.10048333     0.00112978 10.0
  1192    -0.09810517    -0.10047094     0.00112396 10.0
  1193    -0.10139992    -0.10047575     0.00111815 10.0
  1194    -0.09869379    -0.10046657     0.00111242 10.0
  1195    -0.09344782    -0.10043058     0.00110730 10.0
  1196    -0.11541136    -0.10050701     0.00110428 10.0
  1197    -0.10434820    -0.10052651     0.00109885 10.0
  1198    -0.09551943    -0.10050122     0.00109359 10.0
  1199    -0.08518885    -0.10042427     0.00109080 10.0
  1200    -0.11126586    -0.10047848     0.00108669 10.0
  1201    -0.07177469    -0.10033567     0.00109063 10.0
  1202    -0.09186337    -0.10029373     0.00108603 10.0
  1203    -0.10728907    -0.10032819     0.00108123 10.0
  1204    -0.10366387    -0.10034454     0.00107605 10.0
  1205    -0.11922504    -0.10043664     0.00107474 10.0
  1206    -0.06697267    -0.10027420     0.00108173 10.0
  1207    -0.09970399    -0.10027144     0.00107651 10.0
  1208    -0.09467609    -0.10024454     0.00107167 10.0
  1209    -0.10440586    -0.10026445     0.00106673 10.0
