# ib - <E>b - <E> - sigma_E - T
  1155    -0.07932749    -0.10229783     0.00253602 10.0
  1156    -0.08099081    -0.10216125     0.00252344 10.0
  1157    -0.08166472    -0.10203070     0.00251074 10.0
  1158    -0.08879369    -0.10194692     0.00249625 10.0
  1159    -0.08747305    -0.10185589     0.00248221 10.0
  1160    -0.14404335    -0.10211956     0.00248066 10.0
  1161    -0.00404793    -0.10151042     0.00253894 10.0
  1162    -0.09501512    -0.10147032     0.00252358 10.0
  1163    -0.13815068    -0.10169536     0.00251811 10.0
  1164    -0.08829569    -0.10161365     0.00250408 10.0
  1165    -0.10566349    -0.10163820     0.00248903 10.0
  1166    -0.09651885    -0.10160736     0.00247422 10.0
  1167    -0.08969183    -0.10153601     0.00246044 10.0
  1168    -0.03529207    -0.10114170     0.00247719 10.0
  1169    -0.11452096    -0.10122086     0.00246379 10.0
  1170    -0.11391340    -0.10129553     0.00245043 10.0
  1171    -0.10176990    -0.10129830     0.00243610 10.0
  1172    -0.06019159    -0.10105931     0.00243363 10.0
  1173    -0.08968377    -0.10099355     0.00242045 10.0
  1174    -0.10838420    -0.10103603     0.00240692 10.0
  1175    -0.07901950    -0.10091022     0.00239645 10.0
  1176    -0.13234897    -0.10108885     0.00238948 10.0
  1177    -0.11762615    -0.10118228     0.00237781 10.0
  1178    -0.06307165    -0.10096817     0.00237407 10.0
  1179    -0.11581552    -0.10105112     0.00236225 10.0
  1180    -0.05174704    -0.10077721     0.00236496 10.0
  1181    -0.01898575    -0.10032532     0.00239467 10.0
  1182    -0.08482842    -0.10024017     0.00238303 10.0
  1183    -0.08005076    -0.10012985     0.00237256 10.0
  1184    -0.13091481    -0.10029716     0.00236556 10.0
  1185    -0.12913693    -0.10045305     0.00235790 10.0
  1186    -0.07656245    -0.10032461     0.00234872 10.0
  1187    -0.09669362    -0.10030519     0.00233624 10.0
  1188    -0.10475851    -0.10032888     0.00232393 10.0
  1189    -0.13198886    -0.10049639     0.00231767 10.0
  1190    -0.07850504    -0.10038065     0.00230836 10.0
  1191    -0.09183698    -0.10033592     0.00229671 10.0
  1192    -0.08287428    -0.10024497     0.00228654 10.0
  1193    -0.10549720    -0.10027218     0.00227486 10.0
