# i - j - type - ib
 27  26 -1 3231
  5  26 +1 3232
 28  27 -1 3232
  5  26 +1 3233
 27  27 -1 3233
  6  27 +1 3234
 27  26 -1 3234
  5  26 +1 3235
 28  28 -1 3235
  5  28 +1 3236
 28  27 -1 3236
  5  27 +1 3237
 28  27 -1 3237
  5  27 +1 3238
 28  27 -1 3238
  5  27 +1 3239
 28  28 -1 3239
  5  27 +1 3240
 27  28 -1 3240
  4  27 +1 3241
 27  28 -1 3241
  5  28 +1 3242
 27  28 -1 3242
  5  28 +1 3243
 28  28 -1 3243
  4  28 +1 3244
 28  28 -1 3244
  4  28 +1 3245
 28  28 -1 3245
  4  28 +1 3246
 28  29 -1 3246
  4  28 +1 3247
 27  29 -1 3247
  4  28 +1 3248
 28  29 -1 3248
  5  29 +1 3249
 27  28 -1 3249
  5  28 +1 3250
 27  28 -1 3250
  4  28 +1 3251
 27  28 -1 3251
  5  28 +1 3252
 27  28 -1 3252
  5  28 +1 3253
 28  28 -1 3253
  4  29 +1 3254
 28  28 -1 3254
  4  31 +1 3255
 28  28 -1 3255
  4  30 +1 3256
 28  28 -1 3256
  4  30 +1 3257
 29  28 -1 3257
  4  30 +1 3258
 29  28 -1 3258
  4  29 +1 3259
 28  28 -1 3259
  4  30 +1 3260
 28  27 -1 3260
  4  30 +1 3261
 26  27 -1 3261
  4  30 +1 3262
 26  27 -1 3262
  3  29 +1 3263
 26  27 -1 3263
  3  29 +1 3264
 26  27 -1 3264
  3  29 +1 3265
 26  27 -1 3265
  2  30 +1 3266
 27  27 -1 3266
  4  30 +1 3267
 27  27 -1 3267
  4  29 +1 3268
 27  27 -1 3268
  3  30 +1 3269
 27  28 -1 3269
  3  30 +1 3270
 27  27 -1 3270
  4  30 +1 3271
 26  28 -1 3271
  5  30 +1 3272
 27  28 -1 3272
  5  30 +1 3273
 27  27 -1 3273
 28  27 +1 3273
 29  27 -1 3273
  5  30 +1 3274
 28  28 -1 3274
  6  30 +1 3275
 28  28 -1 3275
  6  30 +1 3276
 27  28 -1 3276
  4  30 +1 3277
 27  28 -1 3277
  4  30 +1 3278
 27  28 -1 3278
  4  30 +1 3279
 29  29 -1 3279
  5  30 +1 3280
 29  28 -1 3280
  5  30 +1 3281
 29  29 -1 3281
  5  30 +1 3282
 29  28 -1 3282
  5  29 +1 3283
 28  27 -1 3283
  5  30 +1 3284
 29  28 -1 3284
  5  30 +1 3285
 29  28 -1 3285
  5  30 +1 3286
 28  28 -1 3286
  5  31 +1 3287
 28  28 -1 3287
  5  31 +1 3288
 29  28 -1 3288
  5  30 +1 3289
 29  28 -1 3289
  5  30 +1 3290
 29  28 -1 3290
  5  30 +1 3291
 30  28 -1 3291
  5  29 +1 3292
 29  28 -1 3292
  5  29 +1 3293
 29  28 -1 3293
  5  29 +1 3294
 29  28 -1 3294
  5  29 +1 3295
 28  28 -1 3295
  4  29 +1 3296
 29  28 -1 3296
  5  29 +1 3297
 29  28 -1 3297
  4  30 +1 3298
 29  28 -1 3298
  4  28 +1 3299
 28  28 -1 3299
  4  30 +1 3300
 27  28 -1 3300
  3  31 +1 3301
 28  29 -1 3301
  3  30 +1 3302
 28  28 -1 3302
  2  30 +1 3303
 28  28 -1 3303
  2  28 +1 3304
 28  28 -1 3304
  3  27 +1 3305
 28  29 -1 3305
  4  27 +1 3306
 28  28 -1 3306
  4  27 +1 3307
 28  29 -1 3307
  3  27 +1 3308
 27  28 -1 3308
  3  27 +1 3309
 27  28 -1 3309
  4  26 +1 3310
 28  28 -1 3310
  4  27 +1 3311
 29  27 -1 3311
  4  26 +1 3312
 29  27 -1 3312
  5  26 +1 3313
 29  27 -1 3313
  5  26 +1 3314
 29  27 -1 3314
  5  26 +1 3315
 29  27 -1 3315
  4  26 +1 3316
 29  27 -1 3316
  5  26 +1 3317
 29  27 -1 3317
  4  27 +1 3318
 29  27 -1 3318
  4  27 +1 3319
 30  27 -1 3319
  4  26 +1 3320
 30  27 -1 3320
  4  26 +1 3321
 30  27 -1 3321
  4  26 +1 3322
 30  26 -1 3322
  4  26 +1 3323
 30  26 -1 3323
  4  27 +1 3324
 29  26 -1 3324
  3  26 +1 3325
 29  27 -1 3325
  3  26 +1 3326
 29  26 -1 3326
  3  26 +1 3327
 29  26 -1 3327
  3  26 +1 3328
 29  26 -1 3328
  4  26 +1 3329
 30  26 -1 3329
  4  26 +1 3330
 31  26 -1 3330
  4  25 +1 3331
 31  26 -1 3331
  4  25 +1 3332
 31  26 -1 3332
  3  25 +1 3333
 30  25 -1 3333
  3  26 +1 3334
 31  25 -1 3334
  3  25 +1 3335
 31  25 -1 3335
  3  24 +1 3336
 31  25 -1 3336
  3  25 +1 3337
 31  26 -1 3337
  3  25 +1 3338
 31  24 -1 3338
 31  25 +1 3338
 31  26 -1 3338
  3  25 +1 3339
 31  25 -1 3339
  3  24 +1 3340
 30  25 -1 3340
  3  24 +1 3341
 31  25 -1 3341
  3  25 +1 3342
 31  25 -1 3342
  3  24 +1 3343
 30  25 -1 3343
  3  24 +1 3344
 30  25 -1 3344
  3  25 +1 3345
 30  25 -1 3345
  3  25 +1 3346
 30  25 -1 3346
  3  25 +1 3347
 30  25 -1 3347
  3  25 +1 3348
  8  14 +1 3348
  8  15 -1 3348
 31  25 -1 3348
  3  25 +1 3349
 31  25 -1 3349
  3  25 +1 3350
 31  25 -1 3350
  2  25 +1 3351
 30  25 -1 3351
  2  25 +1 3352
 30  24 -1 3352
  2  25 +1 3353
 30  24 -1 3353
  2  25 +1 3354
 31  24 -1 3354
  2  25 +1 3355
 31  24 -1 3355
  1  26 +1 3356
 31  24 -1 3356
  1  25 +1 3357
 31  24 -1 3357
  1  25 +1 3358
  2  26 -1 3358
  2  27 +1 3358
  4  22 +1 3358
  4  23 -1 3358
 31  24 -1 3358
  1  25 +1 3359
 31  25 -1 3359
  1  25 +1 3360
  1  25 +1 3361
 11   6 -1 3402
 11   7 +1 3402
 10  21 -1 3629
 11  21 +1 3629
 12   5 +1 4055
 13   5 -1 4055
  2  29 +1 4199
  3  29 -1 4199
  6   4 -1 4300
  7   4 +1 4300
 27  17 -1 4359
 28  17 +1 4359
 11  21 +1 4378
 11  22 -1 4378
  8  20 -1 4477
  8  21 +1 4477
  5   3 +1 4716
  6   3 -1 4716
 23  16 +1 4928
 24  17 -1 4928
 15  22 +1 4944
 16  23 -1 4944
 17  14 -1 5231
 18  14 +1 5231
 21  21 -1 5282
 21  22 +1 5282
 21  20 -1 5283
 21  21 +1 5283
 25  11 +1 5327
 25  12 -1 5327
 18  18 -1 5505
 19  18 +1 5505
 27   7 +1 5549
 28   7 -1 5549
 16  18 -1 5655
 16  19 +1 5655
 18   3 +1 5813
 18   4 -1 5813
  6  19 -1 5962
  7  19 +1 5962
 14  23 +1 6049
 14  24 -1 6049
 22   5 -1 6137
 22   6 +1 6137
  3   5 +1 6155
  5   5 -1 6155
 30  22 +1 6192
 30  23 -1 6192
 22  13 -1 6659
 23  14 +1 6659
 17  25 +1 6828
 17  26 -1 6828
 31  11 -1 6922
 31  12 +1 6922
  9  19 +1 7087
  9  20 -1 7087
 15  17 -1 7516
 16  18 +1 7516
 11   5 +1 7540
 12   5 -1 7540
  1  10 -1 7650
  2  10 +1 7650
  5  12 +1 7808
  6  13 -1 7808
 11  31 +1 7975
 21  13 +1 8155
 21  14 -1 8155
 28  29 -1 8188
 29  29 +1 8188
 29   2 +1 8346
 29   3 -1 8346
  7   6 -1 8706
  7   7 +1 8706
 22  14 -1 8945
 22  15 +1 8945
  1  20 -1 9180
 11   1 -1 9367
 12   1 +1 9367
 28  29 -1 9378
 28  30 +1 9378
 21  22 -1 9429
 21  23 +1 9429
  7  25 +1 9545
  8  25 -1 9545
 13  24 -1 9833
 14  24 +1 9833
 11   2 +1 10074
 11   3 -1 10074
 10   2 +1 10077
 10   3 -1 10077
  6  23 +1 10273
  7  23 -1 10273
  4  16 +1 10495
  4  17 -1 10495
 27  22 +1 11091
