# i - j - type - ib
 38   1 +1 3064
 54  55 -1 3064
 63  48 +1 3064
  7  36 +1 3065
 12  45 -1 3065
 27   8 +1 3065
 31  19 -1 3065
 32  47 +1 3065
 36  35 +1 3065
 37  34 -1 3065
 39   1 +1 3065
 53  55 -1 3065
 62  48 +1 3065
  6  36 +1 3066
 11  46 -1 3066
 27   1 -1 3066
 27   8 +1 3066
 31  19 -1 3066
 31  47 +1 3066
 39   1 +1 3066
 53  55 -1 3066
 63  49 +1 3066
  1  35 -1 3067
  6  36 +1 3067
 11  46 -1 3067
 26   1 -1 3067
 27   7 +1 3067
 31  20 -1 3067
 31  47 +1 3067
 39   1 +1 3067
 53  55 -1 3067
 62  49 +1 3067
  1  35 -1 3068
  6  37 +1 3068
 11  46 -1 3068
 26   2 -1 3068
 27   8 +1 3068
 30  47 +1 3068
 31  19 -1 3068
 39   1 +1 3068
 53  55 -1 3068
 62  49 +1 3068
  1  35 -1 3069
  6  36 +1 3069
 10  43 +1 3069
 10  46 -1 3069
 11  43 -1 3069
 26   2 -1 3069
 27   8 +1 3069
 30  47 +1 3069
 31  20 -1 3069
 39   1 +1 3069
 53  56 -1 3069
 62  49 +1 3069
  1  35 -1 3070
  6  36 +1 3070
 10  45 -1 3070
 27   2 -1 3070
 27   8 +1 3070
 31  48 +1 3070
 32  20 -1 3070
 38   1 +1 3070
 53  56 -1 3070
 62  49 +1 3070
  4  35 -1 3071
  6  35 +1 3071
 10  45 -1 3071
 27   1 -1 3071
 27   8 +1 3071
 31  48 +1 3071
 32  20 -1 3071
 38   1 +1 3071
 54  54 -1 3071
 62  49 +1 3071
 10  45 -1 3072
 27   2 -1 3072
 28   8 +1 3072
 29  48 +1 3072
 30  48 -1 3072
 31  48 +1 3072
 32  20 -1 3072
 39   1 +1 3072
 54  55 -1 3072
 61  49 +1 3072
 10  45 -1 3073
 26   1 -1 3073
 27   9 +1 3073
 31  48 +1 3073
 32  20 -1 3073
 39   1 +1 3073
 54  55 -1 3073
 61  49 +1 3073
 10  45 -1 3074
 26   9 +1 3074
 27   2 -1 3074
 30  48 +1 3074
 32  20 -1 3074
 39   1 +1 3074
 54  55 -1 3074
 61  49 +1 3074
 10  45 -1 3075
 26   9 +1 3075
 27   2 -1 3075
 31  48 +1 3075
 32  19 -1 3075
 38   1 +1 3075
 54  54 -1 3075
 61  49 +1 3075
 10  45 -1 3076
 26   9 +1 3076
 27   2 -1 3076
 30  47 +1 3076
 32  19 -1 3076
 38   2 +1 3076
 54  54 -1 3076
 61  49 +1 3076
 11  45 -1 3077
 26   2 -1 3077
 28  10 +1 3077
 30  48 +1 3077
 32  19 -1 3077
 38   2 +1 3077
 54  54 -1 3077
 61  49 +1 3077
 10  46 -1 3078
 26   3 -1 3078
 28  10 +1 3078
 31  48 +1 3078
 32  19 -1 3078
 38   2 +1 3078
 54  53 -1 3078
 61  49 +1 3078
 10  45 -1 3079
 27   3 -1 3079
 28  10 +1 3079
 30  49 +1 3079
 32  19 -1 3079
 38   2 +1 3079
 55  53 -1 3079
 61  49 +1 3079
 10  45 -1 3080
 26   2 -1 3080
 28  10 +1 3080
 30  49 +1 3080
 32  20 -1 3080
 37   1 +1 3080
 54  53 -1 3080
 62  48 +1 3080
 11  44 -1 3081
 11  45 +1 3081
 11  46 -1 3081
 27   2 -1 3081
 28  10 +1 3081
 30  49 +1 3081
 32  19 -1 3081
 37   1 +1 3081
 54  53 -1 3081
 63  49 +1 3081
 11  46 -1 3082
