# ib - T - <M>b - <M> - sigma_M
   3630 1.00  0.22568810  0.22386369  0.00081012
   3640 1.00  0.21754205  0.22382217  0.00080533
   3650 1.00  0.20966487  0.22375631  0.00080073
   3660 1.00  0.21158832  0.22371219  0.00079608
   3670 1.00  0.20422526  0.22361371  0.00079194
   3680 1.00  0.21734008  0.22352376  0.00078779
   3690 1.00  0.20162643  0.22346029  0.00078347
   3700 1.00  0.20692899  0.22335383  0.00077960
   3710 1.00  0.19934887  0.22321102  0.00077636
   3720 1.00  0.19226505  0.22305498  0.00077346
   3730 1.00  0.21086112  0.22296150  0.00076967
   3740 1.00  0.21455153  0.22293393  0.00076531
   3750 1.00  0.20296784  0.22287409  0.00076126
   3760 1.00  0.22587246  0.22284538  0.00075708
   3770 1.00  0.21997255  0.22282923  0.00075284
   3780 1.00  0.23193953  0.22282979  0.00074874
   3790 1.00  0.23756242  0.22288730  0.00074483
   3800 1.00  0.25235204  0.22302826  0.00074207
   3810 1.00  0.25539689  0.22319956  0.00073997
   3820 1.00  0.26165524  0.22339304  0.00073846
   3830 1.00  0.26450730  0.22360091  0.00073736
   3840 1.00  0.24382865  0.22376022  0.00073519
   3850 1.00  0.24074777  0.22383795  0.00073164
   3860 1.00  0.24233986  0.22392966  0.00072830
   3870 1.00  0.24691852  0.22403121  0.00072513
   3880 1.00  0.25248317  0.22416455  0.00072251
   3890 1.00  0.25067604  0.22432015  0.00072039
   3900 1.00  0.23913281  0.22442461  0.00071737
   3910 1.00  0.24355530  0.22451514  0.00071419
   3920 1.00  0.24036237  0.22462988  0.00071143
   3930 1.00  0.22283145  0.22467649  0.00070798
   3940 1.00  0.22937426  0.22468367  0.00070435
   3950 1.00  0.21398710  0.22465915  0.00070084
   3960 1.00  0.19292024  0.22449949  0.00069915
   3970 1.00  0.19459063  0.22436154  0.00069703
   3980 1.00  0.18177458  0.22418947  0.00069567
   3990 1.00  0.19696470  0.22401923  0.00069428
   4000 1.00  0.18843597  0.22384441  0.00069304
   4010 1.00  0.20717195  0.22370393  0.00069110
   4020 1.00  0.20059793  0.22358118  0.00068879
   4030 1.00  0.18979185  0.22340422  0.00068768
   4040 1.00  0.19217470  0.22323310  0.00068645
   4050 1.00  0.20483726  0.22311545  0.00068414
   4060 1.00  0.21014792  0.22304304  0.00068122
   4070 1.00  0.22413491  0.22301232  0.00067803
   4080 1.00  0.21047183  0.22298867  0.00067490
   4090 1.00  0.21537174  0.22293201  0.00067193
   4100 1.00  0.21804324  0.22291997  0.00066876
   4110 1.00  0.23139058  0.22292842  0.00066563
   4120 1.00  0.23778767  0.22297450  0.00066268
   4130 1.00  0.25005344  0.22307220  0.00066032
   4140 1.00  0.25857898  0.22321598  0.00065885
   4150 1.00  0.25358060  0.22333806  0.00065693
   4160 1.00  0.25478958  0.22348473  0.00065554
   4170 1.00  0.25921423  0.22362072  0.00065395
   4180 1.00  0.24822999  0.22378093  0.00065297
   4190 1.00  0.25574207  0.22392162  0.00065154
   4200 1.00  0.25180496  0.22407323  0.00065037
   4210 1.00  0.26299522  0.22420937  0.00064890
   4220 1.00  0.27666979  0.22442168  0.00064946
   4230 1.00  0.28363373  0.22466131  0.00065101
   4240 1.00  0.30303619  0.22497941  0.00065587
   4250 1.00  0.29474552  0.22530776  0.00066115
   4260 1.00  0.26275719  0.22554156  0.00066243
   4270 1.00  0.27527087  0.22573359  0.00066230
   4280 1.00  0.27463754  0.22595457  0.00066308
   4290 1.00  0.28116851  0.22620097  0.00066478
   4300 1.00  0.26088008  0.22639351  0.00066471
   4310 1.00  0.26817006  0.22654860  0.00066368
   4320 1.00  0.26296215  0.22673612  0.00066348
   4330 1.00  0.26010817  0.22688092  0.00066223
   4340 1.00  0.27003687  0.22705877  0.00066179
   4350 1.00  0.27709492  0.22724827  0.00066170
   4360 1.00  0.27020405  0.22745543  0.00066216
   4370 1.00  0.27817815  0.22765170  0.00066228
   4380 1.00  0.28893464  0.22787935  0.00066342
   4390 1.00  0.29131910  0.22814418  0.00066592
   4400 1.00  0.28758591  0.22839718  0.00066795
   4410 1.00  0.28970144  0.22864468  0.00066976
   4420 1.00  0.29524724  0.22892374  0.00067280
   4430 1.00  0.28597848  0.22916143  0.00067423
   4440 1.00  0.26953946  0.22936335  0.00067453
   4450 1.00  0.27522199  0.22954025  0.00067410
   4460 1.00  0.27142155  0.22971002  0.00067350
   4470 1.00  0.28086175  0.22989552  0.00067334
   4480 1.00  0.28341857  0.23011107  0.00067407
