# T - i - j - type
1.50 11 23 +1
1.50 11 25 -1
1.50 11 28 -1
1.50 12 9 -1
1.50 12 31 +1
1.50 13 1 +1
1.50 13 9 +1
1.50 13 27 +1
1.50 13 31 -1
1.50 14 11 +1
1.50 14 12 -1
1.50 14 19 -1
1.50 14 24 +1
1.50 14 27 -1
1.50 14 31 +1
1.50 15 10 -1
1.50 15 24 -1
1.50 16 11 +1
1.50 16 12 -1
1.50 17 2 -1
1.50 17 4 +1
1.50 17 5 -1
1.50 17 12 +1
1.50 17 27 +1
1.50 18 11 -1
1.50 18 16 -1
1.50 19 6 +1
1.50 19 7 -1
1.50 19 10 +1
1.50 19 15 +1
1.50 19 29 -1
1.50 20 6 -1
1.50 20 7 +1
1.50 20 12 -1
1.50 20 14 +1
1.50 20 15 -1
1.50 20 16 +1
1.50 20 30 +1
1.50 21 17 -1
1.50 21 18 +1
1.50 21 19 -1
1.50 21 20 +1
1.50 21 24 -1
1.50 22 3 -1
1.50 22 4 +1
1.50 22 8 +1
1.50 22 30 -1
1.50 22 31 +1
1.50 23 2 -1
1.50 23 3 +1
1.50 23 4 -1
1.50 23 6 -1
1.50 23 10 -1
1.50 23 16 -1
1.50 23 19 +1
1.50 23 23 +1
1.50 23 27 -1
1.50 24 6 +1
1.50 24 11 +1
1.50 24 12 -1
1.50 24 13 +1
1.50 24 23 -1
1.50 24 25 +1
1.50 24 27 +1
1.50 25 3 +1
1.50 25 4 -1
1.50 25 17 +1
1.50 25 30 -1
1.50 26 3 -1
1.50 26 4 +1
1.50 26 6 +1
1.50 26 7 -1
1.50 26 8 +1
1.50 26 9 -1
1.50 26 10 +1
1.50 26 15 +1
1.50 26 18 -1
1.50 26 30 +1
1.50 26 31 -1
1.50 27 6 -1
1.50 27 8 -1
1.50 27 12 -1
1.50 27 14 -1
1.50 27 26 -1
1.50 27 31 +1
1.50 28 15 +1
1.50 28 16 -1
1.50 28 17 +1
1.50 28 18 -1
1.50 28 27 +1
1.50 28 31 -1
1.50 29 24 +1
1.50 29 25 -1
1.50 29 26 +1
1.50 29 27 -1
1.50 29 29 -1
1.50 29 30 +1
1.50 30 3 +1
1.50 30 12 +1
1.50 30 14 +1
1.50 30 15 -1
1.50 30 20 +1
1.50 30 28 +1
1.50 30 30 -1
1.50 31 7 +1
1.50 31 9 +1
1.50 31 31 -1
